Id,Category
0,4
1,2
2,3
3,2
4,1
5,4
6,1
7,3
8,2
9,4
10,3
11,1
12,0
13,3
14,1
15,2
16,0
17,2
18,0
19,2
20,4
21,1
22,1
23,0
24,4
25,3
26,2
27,1
28,1
29,4
30,0
31,3
32,0
33,3
34,4
35,2
36,0
37,0
38,1
39,0
40,1
41,3
42,4
43,2
44,4
45,1
46,4
47,2
48,3
49,2
50,3
51,3
52,0
53,1
54,2
55,2
56,1
57,4
58,3
59,4
60,3
61,2
62,0
63,0
64,4
65,0
66,2
67,1
68,4
69,1
70,4
71,3
72,0
73,2
74,1
75,2
76,3
77,0
78,1
79,2
80,1
81,2
82,4
83,1
84,2
85,3
86,4
87,0
88,2
89,0
90,4
91,0
92,1
93,4
94,1
95,3
96,0
97,3
98,1
99,4
100,0
101,1
102,3
103,1
104,1
105,1
106,0
107,2
108,1
109,3
110,1
111,1
112,0
113,0
114,0
115,2
116,3
117,4
118,3
119,1
120,4
121,4
122,2
123,3
124,3
125,3
126,2
127,1
128,4
129,3
130,3
131,2
132,0
133,2
134,2
135,2
136,4
137,3
138,2
139,1
140,3
141,1
142,1
143,0
144,2
145,1
146,1
147,3
148,2
149,4
150,0
151,3
152,4
153,0
154,4
155,0
156,4
157,0
158,0
159,4
160,3
161,3
162,3
163,4
164,0
165,4
166,4
167,4
168,4
169,4
170,0
171,4
172,4
173,0
174,0
175,0
176,2
177,1
178,2
179,3
180,2
181,1
182,2
183,3
184,2
185,2
186,1
187,2
188,3
189,3
190,3
191,1
192,0
193,3
194,4
195,1
196,0
197,2
198,1
199,4
200,0
201,0
202,1
203,0
204,4
205,1
206,2
207,3
208,3
209,4
210,4
211,1
212,4
213,2
214,2
215,1
216,2
217,1
218,4
219,0
220,0
221,0
222,1
223,3
224,3
225,3
226,2
227,3
228,3
229,4
230,1
231,0
232,4
233,3
234,0
235,1
236,2
237,1
238,2
239,2
240,3
241,1
242,2
243,4
244,0
245,3
246,4
247,1
248,0
249,2
250,0
251,2
252,2
253,0
254,0
255,1
256,1
257,1
258,1
259,3
260,0
261,4
262,4
263,2
264,3
265,4
266,1
267,2
268,1
269,0
270,1
271,4
272,3
273,4
274,4
275,4
276,1
277,3
278,3
279,2
280,1
281,2
282,0
283,2
284,3
285,0
286,3
287,0
288,2
289,3
290,1
291,0
292,3
293,1
294,0
295,0
296,4
297,4
298,1
299,4
300,3
301,4
302,3
303,4
304,3
305,2
306,4
307,0
308,4
309,4
310,4
311,0
312,1
313,4
314,4
315,3
316,4
317,3
318,4
319,1
320,2
321,1
322,0
323,0
324,2
325,3
326,1
327,0
328,0
329,3
330,3
331,1
332,1
333,4
334,1
335,0
336,0
337,0
338,2
339,0
340,1
341,3
342,4
343,3
344,3
345,0
346,3
347,3
348,0
349,0
350,3
351,0
352,3
353,0
354,2
355,0
356,3
357,1
358,0
359,4
360,2
361,1
362,0
363,4
364,3
365,0
366,1
367,4
368,0
369,0
370,1
371,0
372,0
373,4
374,2
375,0
376,1
377,0
378,2
379,3
380,1
381,3
382,1
383,1
384,2
385,1
386,3
387,2
388,0
389,4
390,4
391,2
392,3
393,2
394,4
395,2
396,3
397,4
398,4
399,4
400,1
401,4
402,4
403,0
404,2
405,2
406,0
407,3
408,0
409,4
410,1
411,0
412,3
413,2
414,2
415,4
416,3
417,2
418,1
419,2
420,2
421,3
422,2
423,2
424,4
425,2
426,1
427,2
428,4
429,3
430,0
431,2
432,4
433,1
434,3
435,3
436,3
437,3
438,4
439,0
440,1
441,1
442,3
443,3
444,0
445,0
446,3
447,2
448,4
449,4
450,1
451,0
452,4
453,4
454,0
455,3
456,1
457,2
458,1
459,1
460,3
461,2
462,3
463,0
464,4
465,0
466,0
467,4
468,2
469,0
470,4
471,1
472,0
473,0
474,3
475,0
476,4
477,2
478,2
479,3
480,3
481,2
482,0
483,0
484,0
485,0
486,3
487,3
488,1
489,2
490,1
491,1
492,1
493,3
494,1
495,3
496,0
497,2
498,1
499,1
500,3
501,2
502,3
503,4
504,3
505,0
506,1
507,1
508,1
509,3
510,0
511,1
512,3
513,3
514,1
515,2
516,1
517,0
518,2
519,4
520,3
521,4
522,0
523,0
524,0
525,0
526,0
527,4
528,3
529,4
530,0
531,3
532,0
533,2
534,0
535,3
536,1
537,3
538,1
539,0
540,0
541,4
542,4
543,2
544,3
545,3
546,1
547,3
548,1
549,1
550,1
551,2
552,0
553,0
554,1
555,4
556,4
557,3
558,4
559,4
560,1
561,3
562,1
563,1
564,2
565,0
566,0
567,2
568,2
569,3
570,0
571,2
572,1
573,3
574,2
575,0
576,4
577,3
578,1
579,4
580,0
581,3
582,2
583,2
584,2
585,1
586,2
587,0
588,3
589,2
590,3
591,1
592,4
593,3
594,3
595,3
596,0
597,3
598,4
599,0
600,0
601,4
602,0
603,2
604,0
605,4
606,0
607,4
608,2
609,3
610,1
611,3
612,2
613,4
614,0
615,2
616,4
617,2
618,4
619,4
620,0
621,1
622,0
623,0
624,3
625,4
626,2
627,4
628,0
629,1
630,0
631,4
632,0
633,1
634,2
635,4
636,4
637,4
638,3
639,1
640,1
641,4
642,4
643,1
644,4
645,1
646,0
647,4
648,1
649,0
650,2
651,4
652,3
653,4
654,3
655,4
656,1
657,0
658,4
659,2
660,1
661,2
662,1
663,4
664,4
665,3
666,4
667,0
668,1
669,2
670,3
671,1
672,4
673,1
674,2
675,4
676,4
677,2
678,0
679,0
680,0
681,4
682,0
683,3
684,3
685,3
686,3
687,1
688,2
689,1
690,1
691,0
692,2
693,0
694,4
695,4
696,1
